activation_types,bumps,c1_lb,c1_ub,c2,c3,crossover_freq,decay,distance_weight,edge_inheritance,edge_weights,extra_mutation_rate,fd_max,fd_mean,fd_median,fd_min,fd_sd,generations_per_epoch,gvector_absolute_fitness,gvector_fitness_delta,knob_constant,knob_type,mutation_type_ub,num_candidates,num_epochs,num_hill_climbers,num_organisms,ph_absolute_fitness,ph_fitness_delta,ridge_radius,sa_timesteps,seed,spreading_rate
ONLY_SUM_INCOMING,false,0.100000,0.900000,1.000000,0.000000,0.100000,0.900000,10.000000,INHERIT_SRC_EDGES_FROM_MOMMY,EDGE_WEIGHTS_POS_OR_NEG,0.100000,0.901833,0.243993,0.000000,0.000000,0.309512,20,3.295604,0.836794,0.020000,0,16,7,70,30,50,0.000000,0.000000,0.100000,20,641186000,0.200000
ONLY_SUM_INCOMING,false,0.100000,0.900000,1.000000,0.000000,0.100000,0.900000,10.000000,INHERIT_SRC_EDGES_FROM_MOMMY,EDGE_WEIGHTS_POS_OR_NEG,0.100000,0.827775,0.225404,0.025381,0.000000,0.300168,20,0.662312,0.424766,0.020000,0,16,7,70,30,50,0.000000,0.000000,0.100000,20,100586000,0.200000
ONLY_SUM_INCOMING,false,0.100000,0.900000,1.000000,0.000000,0.100000,0.900000,10.000000,INHERIT_SRC_EDGES_FROM_MOMMY,EDGE_WEIGHTS_POS_OR_NEG,0.100000,0.868527,0.324898,0.295665,0.000000,0.296224,20,1.978375,0.667201,0.020000,0,16,7,70,30,50,0.000000,0.000000,0.100000,20,902721000,0.200000
ONLY_SUM_INCOMING,false,0.100000,0.900000,1.000000,0.000000,0.100000,0.900000,10.000000,INHERIT_SRC_EDGES_FROM_MOMMY,EDGE_WEIGHTS_POS_OR_NEG,0.100000,0.812843,0.177980,0.054639,0.000000,0.232951,20,0.771623,0.555891,0.020000,0,16,7,70,30,50,0.000000,0.000000,0.100000,20,425710000,0.200000
ONLY_SUM_INCOMING,false,0.100000,0.900000,1.000000,0.000000,0.100000,0.900000,10.000000,INHERIT_SRC_EDGES_FROM_MOMMY,EDGE_WEIGHTS_POS_OR_NEG,0.100000,0.837921,0.201045,0.000000,0.000000,0.301162,20,9.977708,0.000000,0.020000,0,16,7,70,30,50,0.000000,0.000000,0.100000,20,377101000,0.200000
ONLY_SUM_INCOMING,false,0.100000,0.900000,1.000000,0.000000,0.100000,0.900000,10.000000,INHERIT_SRC_EDGES_FROM_MOMMY,EDGE_WEIGHTS_POS_OR_NEG,0.100000,0.801689,0.338160,0.347890,0.000000,0.280341,20,2.653881,1.019887,0.020000,0,16,7,70,30,50,0.000000,0.000000,0.100000,20,65123000,0.200000
ONLY_SUM_INCOMING,false,0.100000,0.900000,1.000000,0.000000,0.100000,0.900000,10.000000,INHERIT_SRC_EDGES_FROM_MOMMY,EDGE_WEIGHTS_POS_OR_NEG,0.100000,0.872387,0.262962,0.142017,0.000000,0.292631,20,7.158843,0.000000,0.020000,0,16,7,70,30,50,0.000000,0.000000,0.100000,20,745382000,0.200000
ONLY_SUM_INCOMING,false,0.100000,0.900000,1.000000,0.000000,0.100000,0.900000,10.000000,INHERIT_SRC_EDGES_FROM_MOMMY,EDGE_WEIGHTS_POS_OR_NEG,0.100000,0.483980,0.006914,0.000000,0.000000,0.057847,20,5.323782,0.000000,0.020000,0,16,7,70,30,50,0.000000,0.000000,0.100000,20,476179000,0.200000
ONLY_SUM_INCOMING,false,0.100000,0.900000,1.000000,0.000000,0.100000,0.900000,10.000000,INHERIT_SRC_EDGES_FROM_MOMMY,EDGE_WEIGHTS_POS_OR_NEG,0.100000,0.893942,0.505206,0.598186,0.000000,0.308245,20,2.970522,1.245812,0.020000,0,16,7,70,30,50,0.000000,0.000000,0.100000,20,823981000,0.200000
ONLY_SUM_INCOMING,false,0.100000,0.900000,1.000000,0.000000,0.100000,0.900000,10.000000,INHERIT_SRC_EDGES_FROM_MOMMY,EDGE_WEIGHTS_POS_OR_NEG,0.100000,0.773050,0.202890,0.077824,0.000000,0.250850,20,2.198428,1.091053,0.020000,0,16,7,70,30,50,0.000000,0.000000,0.100000,20,471650000,0.200000
